centroide_lat;centroide_lon;nombre
-26,87539651;-54,65169662;Misiones
-33,75772574;-66,02812982;San Luis
-30,865368;-68,88949085;San Juan
-32,05887354;-59,20144755;Entre Ríos
-48,81548518;-69,95576217;Santa Cruz
-40,40579572;-67,22932989;Río Negro
-43,78862335;-68,52675939;Chubut
-32,14293266;-63,80175327;Córdoba
-34,62988731;-68,58312282;Mendoza
-29,6857763;-67,18173597;La Rioja
-27,33583328;-66,94768243;Catamarca
-37,13155377;-65,44665466;La Pampa
-27,78241166;-63,25238666;Santiago del Estero
-28,7743047;-57,8012192;Corrientes
-30,70692716;-60,94983694;Santa Fe
-26,94780018;-65,36475794;Tucumán
-38,64175758;-70,11857052;Neuquén
-24,29913445;-64,81446296;Salta
-26,38643091;-60,76583074;Chaco
-24,89497259;-59,93244058;Formosa
-23,32007842;-65,76425222;Jujuy
-34,61449341;-58,44585635;Capital Federal
-36,67694152;-60,55883198;Buenos Aires
-82,52151781;-50,7427486;Tierra Del Fuego
